INEP	UE	POLO	BAIRRO	REGIAO	EDUCAÇÃO INFANTIL	FUNDAMENTAL I	FUNDAMENTAL II	EJA	MANHÃ	TARDE	NOITE	INTEGRAL	NÚMERO DE TURMAS	NÚMERO DE MATRÍCULAS	PROGRAMAS FEDERAIS	ENDEREÇO	E-MAIL	LATITUDE	LONGITUDE	NÚMERO DE ESTUDANTES DA EDUCÇÃO ESPECIAL
33056927	E.M. Heloneida Studart	7	Várzea das Moças	Leste	SIM	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	22	412		Est. Marino Nunes Vieira, s/n - Várzea das Moças	emheloneidastudart@educacao.niteroi.rj.gov.br	-22,913962	-42,982828	21
33154635	E.M. Prof.ª Bolívia de Lima Gaétho	4	Rio do Ouro	Leste	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	11	180		Est. Sen. Fernando da Cunha, s/nº - Rio do Ouro	emboliviagaetho@educacao.niteroi.rj.gov.br	-22,902389	-42,997973	13
33057788	E.M. Eulália da Silveira Bragança	7	Jacaré	Oceânica	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	21	530		Estrada Frei Orlando, s/nº - Jacaré	emeulaliabraganca@educacao.niteroi.rj.gov.br	-22,937891	-43,057307	24
33057800	E.M. Francisco Portugal Neves	7	Piratininga	Oceânica	NÃO	NÃO	SIM	SIM	SIM	SIM	SIM	NÃO	39	941		R. Manuel Pacheco de Carvalho, 14 - Piratininga	emportugalneves@educacao.niteroi.rj.gov.br	-22,942252	-43,056852	68
33056803	E.M. Maralegre	7	Cafubá	Oceânica	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	16	414		R. Dr. Waldir Costa. Lts 10 e 11, Qd. 87 - Cafubá	emmaralegre@educacao.niteroi.rj.gov.br	-22,937992	-43,013278	21
33173540	E.M. Prof. Dario de Souza Castello	7	Itaipu	Oceânica	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	20	515		R. Alice Picanço, 21- Itaipu	emdariocastello@educacao.niteroi.rj.gov.br	-22,947986	-43,032424	40
33149607	E.M. Prof. Marcos Waldemar de Freitas Reis	7	Itaipu	Oceânica	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	14	309		R. Antônio Luiz Saião, s/nº - Itaipu	emmarcoswaldemar@educacao.niteroi.rj.gov.br	-22,96158	-43,032841	32
33171700	NAEI Ângela Fernandes	7	Cafubá	Oceânica	SIM	NÃO	NÃO	NÃO	SIM	SIM	NÃO	NÃO	7	101		R. Salomão Vergueiro da Cruz, 1.076 - Cafubá	naeiangelafernandes@educacao.niteroi.rj.gov.br	-22,934587	-43,068508	11
33104948	UMEI Dr. Paulo César Pimentel	7	Itaipu	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	10	174		R. Antônio Luiz  Saião, s/nº - Itaipu	umeipaulopimentel@educacao.niteroi.rj.gov.br	-22,961604	-43,032724	13
33155275	UMEI Lizete Fernandes Maciel	7	Jacaré	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	6	117		Estrada Frei Orlando, 325 - Jacaré	umeilizetemaciel@educacao.niteroi.rj.gov.br	-22,93699	-43,054975	6
33104964	UMEI Olga Benário Prestes	7	Engenho do Mato	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	7	129		Pç. Irene Matos, s/nº - Engenho do Mato	umeiolgabenario@educacao.niteroi.rj.gov.br	-22,933027	-43,009345	22
33167630	UMEI Prof.ª Áurea Trindade Pimentel de Menezes	7	Itaipu	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	5	83		R. Rubens Assis Bonfim, 39 - Itaipu	umeiaureapimental@educacao.niteroi.rj.gov.br	-22,935359	-43,022621	3
33173524	UMEI Prof.ª Nina Rita Torres	7	Piratininga	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	6	105		Av. Dr. Acúrcio Torres, 691 - Piratininga	umeininatorres@educacao.niteroi.rj.gov.br	-22,951738	-43,086171	12
33057664	UMEI Prof.ª Odete Rosa da Mota	7	Itaipu	Oceânica	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	8	141		R. Estrada Francisco da Crus Nunes, s/n - Itaipu	umeiodeterosa@educacao.niteroi.rj.gov.br	-22,953712	-43,029089	14
33186901	UMEI Vale Feliz	7	Engenho do Mato	Oceânica	SIM	SIM	NÃO	SIM	SIM	SIM	SIM	SIM	19	283		R. Dr. Renato Pereira Machado, 33 - Lt 11A, Qd A - Engenho do Mato	umeivalefeliz@educacao.niteroi.rj.gov.br	-22,942255	-43,001797	26
33056684	E.M. Diógenes Ribeiro de Mendonça	4	Pendotiba	Pendotiba	SIM	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	12	277		Est. Caetano Monteiro, s/nº - Pendotiba	emdiogenes@educacao.niteroi.rj.gov.br	-22,881615	-43,03018	14
33056447	E.M. Felisberto de Carvalho	4	Pendotiba	Pendotiba	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	12	270		Est. Caetano Monteiro, 896 - Pendotiba	emfelisbertodecarvalho@educacao.niteroi.rj.gov.br	-22,896915	-43,039239	25
33056730	E.M. Honorina de Carvalho	4	Pendotiba	Pendotiba	NÃO	NÃO	SIM	SIM	SIM	SIM	SIM	NÃO	27	587		R. Prof. José Peçanha, s/nº - Pendotiba	emhonorina@educacao.niteroi.rj.gov.br	-22,882036	-43,026435	27
33056773	E.M. Levi Carneiro	4	Pendotiba	Pendotiba	NÃO	SIM	SIM	NÃO	SIM	SIM	NÃO	NÃO	28	680		Estrada do Sapê, 488 - Pendotiba	emlevicarneiro@educacao.niteroi.rj.gov.br	-22,896041	-43,005829	40
33056676	E.M. Prof. Horácio Pacheco	4	Cantagalo	Pendotiba	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	12	300		Av. Celso Peçanha, s/nº - Cantagalo	emhoraciopacheco@educacao.niteroi.rj.gov.br	-22,909644	-43,051351	19
33056935	E.M. Prof.ª Vera Lúcia Machado	4	Badu	Pendotiba	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	24	602		R. Ademar de Paiva, 7 e 8 - Badu	emveralucia@educacao.niteroi.rj.gov.br	-22,90439	-43,050078	58
33056900	E.M. Sítio do Ipê	4	Pendotiba	Pendotiba	NÃO	SIM	NÃO	NÃO	SIM	SIM	NÃO	NÃO	12	297		R. Prof. José Peçanha, s/nº - Pendotiba	emsitiodoipe@educacao.niteroi.rj.gov.br	-22,881858	-43,027159	28
33138273	UMEI Almir Garcia da Silva	4	Maceió	Pendotiba	SIM	NÃO	NÃO	NÃO	NÃO	NÃO	NÃO	SIM	4	78		R. Prof. Roberto Lira, 09 - Maceió	umeialmirgarcia@educacao.niteroi.rj.gov.br	-22,913047	-43,072566	7
